id,split,label,language,midfiller,endfiller,synthetic,dataset
7865612c-102c-42ff-85bd-d82f3a7f61d3,train,0,fra,True,True,True,chirp3_1
ea8aefd7-4716-4632-b58a-c2340d935462,train,0,dan,True,False,True,chirp3_2
c272115e-1915-45b6-9d66-76133b5fd107,train,1,por,True,False,True,chirp3_1
bc44a499-de52-416a-a39d-cd898daca16a,train,0,fra,True,True,True,chirp3_1
a3d8312c-aea2-4885-8f0a-b7bb02fc918c,train,1,nld,False,False,True,chirp3_1
943544f5-3023-497c-aab8-6226cf4422f8,train,0,eng,,,False,liva_1
1f2b9774-675e-4ced-89f4-904dfdee713f,train,0,eng,False,True,True,chirp3_1
d1bd857c-6ad6-42c9-b776-528ae1553b3d,train,1,jpn,True,False,True,chirp3_1
d4b083b3-7e84-4bca-a6da-39fb5a4ba303,train,0,deu,True,False,True,chirp3_1
ea4fc77d-3aea-4570-9ef1-a9b4c9f68fff,train,0,rus,False,True,True,chirp3_1
d505fb99-3604-4cad-add5-a2dabfce8439,train,1,fra,True,False,True,chirp3_1
785dbe95-3de5-4c94-81e0-7e3ab60a71c2,train,0,vie,True,False,True,chirp3_2
ea6f3e83-8b37-4b01-ad38-29ec16f21b20,train,0,nld,False,True,True,chirp3_1
a3cb72c1-eb9d-477f-aad5-95447e9e4f57,train,0,ita,True,False,True,chirp3_1
9447598d-c1b6-457a-a18d-e57afe5841f4,train,1,fra,True,False,True,chirp3_1
1f2ad26d-eceb-476a-89ee-062f8177be8c,train,0,nld,True,True,True,chirp3_1
d4f32100-a3b7-4bd1-9e44-1d69f71cd92c,train,1,ukr,False,False,True,chirp3_2
93f9d57d-9e44-49e1-8991-6ae81f01687a,train,1,nld,True,False,True,chirp3_1
942bbb77-3ee9-410d-b5cb-a9bc451ad5ac,train,1,deu,False,False,True,chirp3_1
c2438d7e-39bf-4f65-a38b-b00b2556b831,train,1,ukr,False,False,True,chirp3_2
9a37685d-a736-4b27-9f8c-21daabe79883,train,0,fra,True,False,True,chirp3_1
1ed703b0-5e61-4e64-9c78-2d22026a0c72,train,1,ind,False,False,True,chirp3_2
ea86b61d-6d28-486b-b57a-27b794d02f70,train,0,spa,True,True,True,chirp3_1
945ac9e1-dd40-4ee0-8896-f66951b5a193,train,0,nld,True,True,True,chirp3_1
d50df6a1-1fe5-43ba-b9c0-068b224eff93,train,0,ara,False,True,True,chirp3_2
a3ed2fb8-2d2b-4378-ba24-89b0cf8e298c,train,0,kor,False,True,True,chirp3_1
9a534205-9aaa-469a-bf7b-f8b5700ae055,train,1,deu,True,False,True,chirp3_1
d1e17664-5beb-4e58-999a-6ee530bdd0a2,train,0,spa,True,False,True,chirp3_1
1ecd8b7c-30a0-442b-acab-e71145c26238,train,1,ind,False,False,True,chirp3_2
d1c17719-9bf2-4721-9589-0f9f5e40e5c9,train,0,dan,False,True,True,chirp3_2
d4fde414-9469-4cf5-a775-25ab02dd55c7,train,0,jpn,False,True,True,chirp3_1
bc30a4b1-b406-4319-a002-17e7ba7c3b1b,train,1,deu,True,False,True,chirp3_1
d1fce28a-6b4c-47e2-88b9-a1d91b0faa44,train,1,ben,False,False,True,chirp3_2
ea8a354a-707d-4603-b3c0-6eb2f0329d99,train,1,ben,False,False,True,chirp3_2
a3813ec1-4401-4282-bca9-708109cefbca,train,0,nld,True,False,True,chirp3_1
ea7b4946-0480-4c1d-96d9-126a8d74e82a,train,1,hin,True,False,True,chirp3_1
a3c12790-feec-4dab-a4f0-7542b74ccd41,train,0,ita,False,True,True,chirp3_1
eab01608-6723-4b09-816d-2fefb1f679ca,train,0,eng,True,True,True,chirp3_1
93f8c395-b35f-4c2d-8507-d0b415f6f70b,train,1,eng,True,False,True,chirp3_1
d4d91cfb-b810-4c57-8687-1ce011ae4e39,train,1,nld,True,False,True,chirp3_1
bc57edce-96aa-4eff-9656-9de88fde1ccd,train,1,rus,True,False,True,chirp3_1
bc577e3d-9a81-48ae-9361-3918e42ab5b4,train,0,eng,,,False,liva_1
c21a9bc6-59da-4ab2-b678-266ba999730b,train,1,rus,True,False,True,chirp3_1
7807a52a-1b05-4a7c-a799-3c605e0babbd,train,1,eng,,,False,liva_1
d50b78fe-e445-46ac-a656-278a9b6f41e6,train,0,eng,True,True,True,chirp3_1
d1d20d24-4008-4681-84bc-3c7f33b85a88,train,1,dan,False,False,True,chirp3_2
1ed5e943-6511-4da6-97ec-cf4e80b3d6cb,train,1,eng,,,False,liva_1
bc09f82d-703f-46b3-bdd7-04fbd12e6983,train,1,fra,True,False,True,chirp3_1
9a79dbec-5fb5-4225-b2b3-e8982eb959d4,train,0,zho,False,True,True,chirp3_1
9a7ad9a7-b69a-4af9-bcc9-d45a2d9eab91,train,0,eng,,,False,midcentury_1
d1fd9bc0-d9f5-46ac-b507-429b0e6d62be,train,1,eng,,,False,liva_1
93fbe8e5-b2ba-4e4b-9912-632f9a07dc8c,train,1,vie,True,False,True,chirp3_2
d1d17548-e976-4dd3-8411-92c00d464f42,train,0,ukr,False,True,True,chirp3_2
9a709c09-5602-4de0-8851-6d7b754bc95c,train,0,tur,False,True,True,chirp3_1
d1f44deb-3045-4df6-ad1b-b9f430c53eca,train,1,dan,False,False,True,chirp3_2
d18acf8b-d5cf-4b98-a23f-576a0f98571f,train,1,fra,True,False,True,chirp3_1
d4dc8089-f155-4d10-9286-b272ecd6f530,train,1,pol,False,False,True,chirp3_1
ea8e94c3-07e5-4054-975e-4fbff9103a38,train,1,ukr,False,False,True,chirp3_2
d4ec0bf0-287d-4fc5-8e59-9ca55d75603b,train,1,ita,True,False,True,chirp3_1
d18e3fa5-c84b-495c-b618-69c2de3ff5e0,train,0,hin,True,False,True,chirp3_1
940ef47a-007f-4024-8f2e-9b0f64295619,train,1,deu,False,False,True,chirp3_1
a396ce87-8be6-4783-803a-dac09f230f4f,train,0,vie,False,True,True,chirp3_2
1ede1ea4-d94b-4712-b0ff-c6ca9ea954c5,train,0,kor,False,True,True,chirp3_1
d1c5b0d7-ed3b-4bba-8e30-73d35796d41e,train,1,nld,True,False,True,chirp3_1
c2a34210-0ca5-4160-98ac-083b125e4745,train,0,zho,False,True,True,chirp3_1
c24da7f2-1a14-447c-bb76-3c0caf739ef7,train,1,eng,,,False,liva_1
d1ea7f00-dcd7-4cf2-b333-07394bc63722,train,1,eng,,,False,midcentury_1
1f05f40c-47aa-4f68-b270-92a4260da90b,train,0,rus,False,True,True,chirp3_1
